"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"0000B827EB72754D","","2018-07-30 11:07:49.526Z", 807465619, 868100000,1, 0,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-55,+10.8,"408E2F58-00800A00-02085556-454CE691-D8"
"0000B827EB72754D","","2018-07-30 11:07:55.528Z", 813466819, 868300000,1, 1,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-52,+11.5,"408E2F58-00800B00-023AE9A7-D99C501F-7D"
"0000B827EB72754D","","2018-07-30 11:08:05.560Z", 823497163, 868300000,1, 1,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-58,+10.2,"408E2F58-00800C00-0225FB4F-485D6723-5E"
"0000B827EB72754D","","2018-07-30 11:08:20.174Z", 838113667, 868100000,1, 0,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-61,+11.0,"408E2F58-00800D00-026C513B-757DA078-B0"
"0000B827EB72754D","","2018-07-30 11:08:26.654Z", 844592131, 868300000,1, 1,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-61,+11.5,"408E2F58-00800E00-024E06CF-D5455547-A0"
"0000B827EB72754D","","2018-07-30 11:08:56.148Z", 874087051, 868500000,1, 2,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-60, +7.5,"408E2F58-00800F00-02D7AD32-4BA5E627-06"
"0000B827EB72754D","","2018-07-30 11:09:05.457Z", 883394875, 868500000,1, 2,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-61, +7.5,"408E2F58-00801000-02482F66-0DD331A5-CE"
"0000B827EB72754D","","2018-07-30 11:09:15.940Z", 893876891, 868100000,1, 0,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-69, +9.5,"408E2F58-00801100-02D84E4B-AA9D1572-79"
"0000B827EB72754D","","2018-07-30 11:09:27.886Z", 905823259, 868300000,1, 1,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-64,+10.2,"408E2F58-00801200-0222227A-9D875031-EA"
"0000B827EB72754D","","2018-07-30 11:09:48.178Z", 926115995, 868500000,1, 2,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-55, +7.5,"408E2F58-00801300-02D3585B-A4A4F15E-8C"
"0000B827EB72754D","","2018-07-30 11:10:08.576Z", 946515051, 868500000,1, 2,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-75, +7.2,"408E2F58-00801400-0295ED81-3457B538-0E"
"0000B827EB72754D","","2018-07-30 11:10:13.918Z", 951855331, 868300000,1, 1,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-69,+10.2,"408E2F58-00801500-027C41E1-A14E94E4-31"
"0000B827EB72754D","","2018-07-30 11:10:34.654Z", 972592699, 868100000,1, 0,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-66, +9.0,"408E2F58-00801600-02C3A079-6FCC39D4-B8"
"0000B827EB72754D","","2018-07-30 11:11:03.712Z",1001649651, 868500000,1, 2,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-71, +6.8,"408E2F58-00801700-028FD5B1-D9B4AD0A-D2"
