"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"0000B827EB72754D","","2018-04-30 16:22:16.975Z",   8108947, 868100000,1, 0,"CRC_OK" , 20,"LORA",125000,"SF7"   ,"4/5",+3,+10.0,"40ABCB54-48800400-02588D5B-25DB0E90-42E2F2A9"
"0000B827EB72754D","","2018-04-30 16:22:44.034Z",  35168587, 868300000,1, 1,"CRC_OK" , 18,"LORA",125000,"SF7"   ,"4/5",+3,+10.5,"40ABCB54-48800500-02669447-477A3F75-A49A"
"0000B827EB72754D","","2018-04-30 16:22:57.567Z",  48703115, 868300000,1, 1,"CRC_BAD",228,"LORA",125000,"SF7"   ,"4/5",-109,-11.8,"FC372B48-53A204C1-CD35BB1A-902AB3B2-25B4999D-C3989B75-B72CB7A4-865193B1-CFA01BF5-2630B915-5E175B10-10A596F9-13C19815-8A8E7EA9-6A76C419-055A9072-5BBE98CC-F0607819-33A2EC2C-F5BFAF9F-310AFE79-92881746-60881AC4-BD7993F2-A847FE21-A6AF64BF-BC7EC788-1D601DEF-ADF84E78-D9902B3A-02EDB94D-9C050DC0-ABD38C48-1DF46053-C1527622-799B856A-CDDE4026-33990127-1623355F-60135A2F-5DC95492-D700CA4B-21EBAC8F-AE2E7F62-5083F5E3-1124C4D2-1A2F340F-6A1E2718-6F2FE5F1-FF9CE138-92A57E8C-DFA3FE5B-624A1ECB-D7AFDDD0-42B59BD4-A623C06E-E3B8AF50"
"0000B827EB72754D","","2018-04-30 16:23:19.416Z",  70552099, 868100000,1, 0,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",+3,+10.5,"40ABCB54-48800600-02E5F672-A2B6F6B1-F9"
